# id	left	top	right	bottom	texture_id
[SPRITES]
#CLOUD
1	715	1	730	16	30
2	732	1	747	16	30
3	749	1	764	16	30
4	715	18	730	33	30
5	732	18	747	33	30
6	749	18	764	33	30
#BUSH
7	307	256	322	271	30
8	324	256	339	271	30
9	307	273	322	288	30
10	324	273	339	288	30
11	307	307	322	322	30
12	324	307	339	322	30
13	307	324	322	339	30
14	324	324	339	339	30

#TREE
#GROUND
50	443	171	458	186	30
51	460	171	475	186	30
52	477	171	492	186	30
#BOX PINK
#MID
20	919	154	934	169	30
21	936	154	951	169	30
22	953	154	968	169	30
#BOT
23	919	171	934	186	30
24	936	171	951	186	30
25	953	171	968	186	30
#BOX BLUE
#MID
26	970	154	985	169	30
27	987	154	1002	169	30
28	1004	154	1019	169	30
#BOT
29	970	171	985	186	30
30	987	171	1002	186	30
31	1004	171	1019	186	30
#BOX GREEN
#MID
32	919	205	934	220	30
33	936	205	951	220	30
34	953	205	968	220	30
#BOT
35	919	222	934	237	30
33	936	222	951	237	30
34	953	222	968	237	30
#BOX WHITE
#MID
38	970	205	985	220	30
39	987	205	1002	220	30
40	1004	205	1019	220	30
#BOT
41	970	222	985	237	30
42	987	222	1002	237	30
43	1004	222	1019	237	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
