# id	left	top	right	bottom	texture_id
[SPRITES]
#PINK
15100	919	137	934	152	30
15101	936	137	951	152	30
15102	953	137	968	152	30
#BLUE
15103	970	137	985	152	30
15104	987	137	1002	152	30
15105	1004	137	1019	152	30
#GREEN
15106	919	188	934	203	30
15107	936	188	951	203	30
15108	953	188	968	203	30
#WHITE
15109	970	188	985	203	30
15110	987	188	1002	203	30
15111	1004	188	1019	203	30
#ORANGE
15100	919	239	934	254	30
15101	936	239	951	254	30
15102	953	239	968	254	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
